Source IP,Destination IP,Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Label
172.16.0.1,192.168.10.50,50,1,1,120000.0,40000.0,1
172.16.0.1,192.168.10.50,69,1,1,86956.52,28985.508,1
172.16.0.1,192.168.10.50,81,1,1,74074.07,24691.357,1
192.168.10.9,192.168.10.3,170,2,2,1.9058824e+06,23529.412,0
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
172.16.0.1,192.168.10.50,71,1,1,84507.04,28169.014,1
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
172.16.0.1,192.168.10.50,2,1,1,4e+06,1e+06,1
192.168.10.5,144.76.152.132,3284793,6,7,410.0715,3.9576313,0
192.168.10.14,192.168.10.3,213,2,2,2.57277e+06,18779.342,0
192.168.10.3,192.168.10.1,30648,1,1,6884.6255,65.25711,0
192.168.10.16,192.168.10.3,60528,2,2,3370.341,66.08512,0
192.168.10.8,192.168.10.3,157,2,2,1.4649681e+06,25477.707,0
172.16.0.1,192.168.10.50,45,1,1,133333.33,44444.445,1
192.168.10.12,192.168.10.3,61562,2,2,7212.241,64.97514,0
192.168.10.25,203.154.100.144,283603,1,1,0.0,7.0521116,0
172.16.0.1,192.168.10.50,65,1,1,92307.695,30769.23,1
172.16.0.1,192.168.10.50,55,1,1,109090.91,36363.637,1
172.16.0.1,192.168.10.50,97,1,1,82474.23,20618.557,1
172.16.0.1,192.168.10.50,37,1,1,216216.22,54054.055,1
192.168.10.17,192.95.27.155,16526,1,1,5809.0283,121.02142,0
192.168.10.50,192.168.10.19,66,1,1,0.0,30303.031,0
172.16.0.1,192.168.10.50,58,1,1,103448.27,34482.758,1
192.168.10.3,192.168.10.1,30694,1,1,3714.0808,65.15932,0
172.16.0.1,192.168.10.50,64,1,1,125000.0,31250.0,1
192.168.10.19,192.168.10.3,31640,2,2,9355.246,126.42225,0
192.168.10.15,192.168.10.3,179,2,2,1.2067039e+06,22346.37,0
172.16.0.1,192.168.10.50,64,1,1,93750.0,31250.0,1
192.168.10.14,68.67.178.111,17167811,20,22,1559.0806,2.4464388,0
172.16.0.1,192.168.10.50,31,1,1,258064.52,64516.13,1
172.16.0.1,192.168.10.50,21,1,1,380952.38,95238.09,1
172.16.0.1,192.168.10.50,67,1,1,89552.24,29850.746,1
172.16.0.1,192.168.10.50,67,1,1,119402.984,29850.746,1
192.168.10.19,104.79.88.192,116301701,24,21,91.976295,0.38692468,0
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
52.84.145.63,192.168.10.17,51,1,1,0.0,39215.688,0
172.16.0.1,192.168.10.50,17,1,1,470588.25,117647.06,1
192.168.10.51,162.213.33.50,94944,1,1,0.0,21.065048,0
157.240.18.19,192.168.10.15,237,3,1,375527.44,16877.637,0
192.168.10.50,192.168.10.14,45,1,2,400000.0,66666.664,0
172.16.0.1,192.168.10.50,93,1,1,64516.13,21505.377,1
192.168.10.9,74.117.200.68,507,3,0,84812.625,5917.1597,0
172.16.0.1,192.168.10.50,47,1,1,170212.77,42553.19,1
172.16.0.1,192.168.10.50,76,1,1,78947.37,26315.79,1
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
192.168.10.12,192.168.10.3,244,2,2,1.1721311e+06,16393.443,0
192.168.10.3,192.168.10.1,92473759,2,2,4.520201,0.043255515,0
172.16.0.1,192.168.10.50,55,1,1,109090.91,36363.637,1
172.16.0.1,192.168.10.50,62,1,1,129032.26,32258.064,1
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
192.168.10.17,192.168.10.3,291,2,2,879725.06,13745.704,0
172.16.0.1,192.168.10.50,38,1,1,210526.31,52631.58,1
172.16.0.1,192.168.10.50,63,1,1,126984.125,31746.031,1
192.168.10.15,23.208.92.92,5135619,3,1,2.336622,0.778874,0
172.16.0.1,192.168.10.50,15,1,1,533333.3,133333.33,1
192.168.10.12,23.194.141.182,4,2,0,3e+06,500000.0,0
192.168.10.17,192.168.10.3,24661,2,2,12408.256,162.19942,0
172.16.0.1,192.168.10.50,17,1,1,352941.2,117647.06,1
157.240.2.35,192.168.10.14,223,3,1,399103.12,17937.22,0
172.16.0.1,192.168.10.50,57,1,1,140350.88,35087.72,1
172.16.0.1,192.168.10.50,46,1,1,130434.78,43478.26,1
192.168.10.15,8.43.72.98,116996337,27,28,227.28062,0.4701002,0
172.16.0.1,192.168.10.50,55,1,1,145454.55,36363.637,1
192.168.10.15,192.168.10.3,173,2,2,1.3410405e+06,23121.387,0
192.168.10.17,104.20.114.18,15231,1,1,787.8668,131.31114,0
172.16.0.1,192.168.10.50,44,1,1,181818.19,45454.547,1
192.168.10.5,192.168.10.3,148823,4,2,2190.5217,40.31635,0
192.168.10.19,192.168.10.3,950,2,2,301052.62,4210.5264,0
172.16.0.1,192.168.10.50,49,1,1,163265.31,40816.33,1
172.16.0.1,192.168.10.50,41,1,1,195121.95,48780.49,1
192.168.10.3,192.168.10.1,31356,1,1,5198.367,63.783646,0
172.16.0.1,192.168.10.50,48,1,1,166666.67,41666.668,1
192.168.10.17,149.202.222.104,3,2,0,4e+06,666666.7,0
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
172.16.0.1,192.168.10.50,32,1,1,250000.0,62500.0,1
172.16.0.1,192.168.10.50,48,1,1,166666.67,41666.668,1
172.16.0.1,192.168.10.50,45,1,1,133333.33,44444.445,1
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
172.217.12.166,192.168.10.15,49,2,0,244897.95,40816.33,0
192.168.10.12,31.13.69.245,839,3,1,28605.482,4767.5806,0
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
172.16.0.1,192.168.10.50,80,1,1,100000.0,25000.0,1
192.168.10.15,23.4.43.27,142,2,0,84507.04,14084.507,0
172.16.0.1,192.168.10.50,96,1,1,83333.336,20833.334,1
172.16.0.1,192.168.10.50,45,1,1,177777.78,44444.445,1
192.168.10.8,104.16.24.235,4880268,5,1,37.088127,1.2294407,0
172.16.0.1,192.168.10.50,25,1,1,240000.0,80000.0,1
192.168.10.19,210.160.193.167,490,4,1,771428.56,10204.082,0
172.16.0.1,192.168.10.50,117,1,1,51282.05,17094.018,1
172.16.0.1,192.168.10.50,61,1,1,98360.66,32786.887,1
192.168.10.9,165.254.34.210,5913275,8,7,764.04364,2.5366654,0
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
172.16.0.1,192.168.10.50,34,1,1,235294.12,58823.53,1
192.168.10.19,192.168.10.3,102640,2,2,3585.347,38.97116,0
192.168.10.17,192.168.10.3,215,2,2,1.3767441e+06,18604.65,0
172.217.11.14,192.168.10.9,49,1,1,244897.95,40816.33,0
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
192.168.10.3,192.168.10.1,96272,1,1,2181.3196,20.774473,0
172.16.0.1,192.168.10.50,56,1,1,107142.86,35714.285,1
72.246.56.99,192.168.10.16,69,1,1,0.0,28985.508,0
192.168.10.3,192.168.10.1,59705,1,1,2780.3367,33.49803,0
192.168.10.19,23.61.187.27,115117630,17,15,19.163008,0.27797654,0
192.168.10.19,192.168.10.3,61084,2,2,4682.077,65.4836,0
172.16.0.1,192.168.10.50,55,1,1,109090.91,36363.637,1
172.16.0.1,192.168.10.50,53,1,1,113207.55,37735.848,1
192.168.10.17,199.167.65.25,20422154,16,17,1059.6825,1.6158923,0
172.16.0.1,192.168.10.50,46,1,1,173913.05,43478.26,1
192.168.10.5,192.168.10.3,30946,4,2,12925.741,193.88612,0
192.168.10.12,23.61.187.27,116296854,16,14,18.985897,0.25796056,0
192.168.10.14,162.208.20.178,5453451,3,1,2.2004416,0.7334805,0
192.168.10.17,174.35.72.217,4,2,0,1.33e+07,500000.0,0
34.198.23.240,192.168.10.14,18,1,1,666666.7,111111.11,0
192.168.10.15,52.58.216.76,61036831,14,13,65.58335,0.44235587,0
172.16.0.1,192.168.10.50,52,1,1,153846.16,38461.54,1
192.168.10.19,54.243.44.39,3504584,21,15,4205.635,10.272261,0
192.168.10.9,192.168.10.3,320093,2,2,930.97943,12.496368,0
192.168.10.14,192.168.10.3,187,2,2,1.0909091e+06,21390.375,0
172.16.0.1,192.168.10.50,100,1,1,80000.0,20000.0,1
172.16.0.1,192.168.10.50,54,1,1,148148.14,37037.035,1
172.16.0.1,192.168.10.50,49,1,1,163265.31,40816.33,1
192.168.10.15,192.168.10.3,23736,2,2,13144.591,168.52039,0
172.16.0.1,192.168.10.50,58,1,1,103448.27,34482.758,1
172.16.0.1,192.168.10.50,94,1,1,63829.79,21276.596,1
172.16.0.1,192.168.10.50,55,1,1,145454.55,36363.637,1
192.168.10.3,192.168.10.1,30518,1,1,6356.9043,65.535095,0
172.16.0.1,192.168.10.50,62,1,1,96774.195,32258.064,1
67.23.100.17,192.168.10.16,21,1,1,0.0,95238.09,0
172.16.0.1,192.168.10.50,48,1,1,166666.67,41666.668,1
23.60.139.27,192.168.10.9,82,1,1,146341.47,24390.244,0
192.168.10.15,192.168.10.3,196,2,2,979591.8,20408.164,0
172.16.0.1,192.168.10.50,14,1,1,428571.44,142857.14,1
172.16.0.1,192.168.10.50,72,1,1,83333.336,27777.777,1
192.168.10.8,192.168.10.3,201,2,2,2.1691542e+06,19900.498,0
172.16.0.1,192.168.10.50,89,1,1,67415.73,22471.91,1
172.16.0.1,192.168.10.50,6,1,1,1.3333334e+06,333333.34,1
192.168.10.3,192.168.10.1,50604,1,1,2450.3992,39.522568,0
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
192.168.10.17,52.73.40.4,50442,1,1,118.948494,39.649498,0
192.168.10.17,172.217.12.136,5654035,7,4,142.02246,1.9455132,0
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
192.168.10.3,192.168.10.1,100519264,2,2,5.202983,0.03979337,0
172.16.0.1,192.168.10.50,49,1,1,163265.31,40816.33,1
172.16.0.1,192.168.10.50,52,1,1,115384.62,38461.54,1
52.84.145.17,192.168.10.5,91,1,1,131868.12,21978.021,0
172.16.0.1,192.168.10.50,7,1,1,1.1428571e+06,285714.28,1
172.16.0.1,192.168.10.50,15,1,1,400000.0,133333.33,1
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
192.168.10.14,192.168.10.50,1416515,39,46,6853.4395,60.006424,0
172.16.0.1,192.168.10.50,58,1,1,103448.27,34482.758,1
172.16.0.1,192.168.10.50,74,1,1,81081.08,27027.027,1
172.16.0.1,192.168.10.50,48,1,1,166666.67,41666.668,1
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
192.168.10.5,64.95.182.2,68,2,0,176470.6,29411.766,0
192.168.10.8,8.27.238.126,9344541,49,74,12993.896,13.1627655,0
192.168.10.25,203.154.100.144,857213,10,5,1924.8425,17.498568,0
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
192.168.10.8,163.172.224.32,831169,32,44,96383.52,91.437485,0
23.208.97.23,192.168.10.5,164706,2,0,72.85709,12.142848,0
192.168.10.8,54.69.227.52,60698722,17,17,209.42781,0.5601436,0
172.16.0.1,192.168.10.50,80,1,1,75000.0,25000.0,1
192.168.10.8,172.217.16.164,120158,1,1,99.86851,16.64475,0
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
192.168.10.3,192.168.10.1,30576,1,1,6442.962,65.41078,0
172.16.0.1,192.168.10.50,48,1,1,166666.67,41666.668,1
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
192.168.10.8,192.168.10.3,147,2,2,1.3605442e+06,27210.885,0
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
172.16.0.1,192.168.10.50,42,1,1,190476.19,47619.047,1
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
192.168.10.16,199.244.48.55,161800,70,103,1.3432015e+06,1069.2213,0
172.16.0.1,192.168.10.50,55,1,1,109090.91,36363.637,1
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
192.168.10.9,192.168.10.3,221,2,2,1.4660634e+06,18099.547,0
172.16.0.1,192.168.10.50,52,1,1,153846.16,38461.54,1
192.168.10.51,162.213.33.50,2267968,9,11,2051.6162,8.818466,0
172.16.0.1,192.168.10.50,49,1,1,163265.31,40816.33,1
192.168.10.5,192.168.10.3,957,2,2,167189.12,4179.7285,0
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
172.16.0.1,192.168.10.50,944,3,1,0.0,4237.288,1
172.16.0.1,192.168.10.50,60,1,1,100000.0,33333.332,1
192.168.10.17,173.194.175.109,3,2,0,1.23e+07,666666.7,0
173.241.242.143,192.168.10.9,519825,2,0,119.27091,3.8474486,0
192.168.10.8,192.168.10.3,153,2,2,1.0457516e+06,26143.791,0
172.16.0.1,192.168.10.50,48,1,1,166666.67,41666.668,1
192.168.10.8,192.168.10.3,181,2,2,1.5359116e+06,22099.447,0
172.16.0.1,192.168.10.50,68,1,1,88235.3,29411.766,1
172.16.0.1,192.168.10.50,48,1,1,125000.0,41666.668,1
192.168.10.15,192.168.10.3,53976,4,2,5595.079,111.160515,0
192.168.10.15,192.168.10.3,432497,20,15,29216.387,80.925415,0
172.16.0.1,192.168.10.50,45,1,1,177777.78,44444.445,1
192.168.10.15,172.217.10.35,5907476,5,1,30.639143,1.0156622,0
172.16.0.1,192.168.10.50,22,1,1,363636.38,90909.09,1
172.16.0.1,192.168.10.50,53,1,1,150943.39,37735.848,1
199.59.88.242,192.168.10.17,55,1,1,0.0,36363.637,0
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
192.168.10.17,172.217.12.162,116091165,22,21,88.60278,0.37039855,0
192.168.10.16,192.168.10.3,191,2,2,1.1623036e+06,20942.408,0
172.16.0.1,192.168.10.50,64,1,1,125000.0,31250.0,1
192.168.10.5,192.168.10.3,49314145,4,4,14.194711,0.16222526,0
192.168.10.50,172.16.0.1,3,1,1,2.6666668e+06,666666.7,0
172.16.0.1,192.168.10.50,41,1,1,146341.47,48780.49,1
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
172.16.0.1,192.168.10.50,30,1,1,266666.66,66666.664,1
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
172.16.0.1,192.168.10.50,48,1,1,125000.0,41666.668,1
172.16.0.1,192.168.10.50,25,1,1,320000.0,80000.0,1
172.16.0.1,192.168.10.50,49,1,1,163265.31,40816.33,1
192.168.10.15,192.168.10.3,387,2,2,496124.03,10335.917,0
192.168.10.16,192.168.10.3,24276,2,2,16477.18,164.77179,0
192.168.10.12,172.217.11.14,5601774,3,1,0.0,0.71405953,0
172.16.0.1,192.168.10.50,41,1,1,195121.95,48780.49,1
172.16.0.1,192.168.10.50,59,1,1,101694.914,33898.305,1
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
172.16.0.1,192.168.10.50,48,1,1,125000.0,41666.668,1
68.64.16.192,192.168.10.17,4,2,0,3e+06,500000.0,0
172.16.0.1,192.168.10.50,51,1,1,156862.75,39215.688,1
192.168.10.5,192.168.10.3,179,2,2,1.0502794e+06,22346.37,0
172.16.0.1,192.168.10.50,53,1,1,113207.55,37735.848,1
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
192.168.10.5,62.161.94.230,381,2,0,31496.062,5249.3438,0
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
172.16.0.1,192.168.10.50,52,1,1,115384.62,38461.54,1
192.168.10.3,192.168.10.1,88697,1,1,2074.4783,22.548677,0
172.16.0.1,192.168.10.50,11,1,1,545454.56,181818.19,1
172.16.0.1,192.168.10.50,58,1,1,103448.27,34482.758,1
203.154.100.144,192.168.10.25,220,1,1,0.0,9090.909,0
158.69.124.230,192.168.10.14,6210,2,1,2898.5508,483.0918,0
192.168.10.14,157.240.18.5,48044,2,0,249.77104,41.628506,0
172.16.0.1,192.168.10.50,40,1,1,200000.0,50000.0,1
192.168.10.14,192.168.10.3,61275,4,2,6136.271,97.91922,0
172.16.0.1,192.168.10.50,77,1,1,77922.08,25974.025,1
172.16.0.1,192.168.10.50,44,1,1,181818.19,45454.547,1
172.16.0.1,192.168.10.50,17,1,1,470588.25,117647.06,1
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
192.168.10.17,66.231.239.122,90160031,12,12,10.559003,0.26619333,0
192.168.10.50,192.168.10.3,190,2,2,484210.53,21052.63,0
192.168.10.3,192.168.10.1,30610,1,1,7252.5317,65.33813,0
31.13.71.7,192.168.10.19,2511,5,2,1.3898845e+06,2787.734,0
172.16.0.1,192.168.10.50,21,1,1,380952.38,95238.09,1
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
192.168.10.19,192.168.10.3,388212,2,2,1045.8203,10.303649,0
172.16.0.1,192.168.10.50,73,1,1,109589.04,27397.26,1
172.16.0.1,192.168.10.50,43,1,1,139534.89,46511.63,1
172.16.0.1,192.168.10.50,49,1,1,122448.98,40816.33,1
172.16.0.1,192.168.10.50,42,1,1,190476.19,47619.047,1
172.16.0.1,192.168.10.50,55,1,1,145454.55,36363.637,1
172.16.0.1,192.168.10.50,35,1,1,228571.42,57142.855,1
172.16.0.1,192.168.10.50,44,1,1,181818.19,45454.547,1
192.168.10.14,173.241.242.143,3,2,0,4e+06,666666.7,0
172.16.0.1,192.168.10.50,5,1,1,1.6e+06,400000.0,1
172.16.0.1,192.168.10.50,169,1,1,35502.957,11834.319,1
172.16.0.1,192.168.10.50,93,1,1,64516.13,21505.377,1
172.16.0.1,192.168.10.50,70,1,1,85714.29,28571.428,1
172.16.0.1,192.168.10.50,73,1,1,82191.78,27397.26,1
172.16.0.1,192.168.10.50,60,1,1,100000.0,33333.332,1
172.16.0.1,192.168.10.50,73,1,1,82191.78,27397.26,1
172.16.0.1,192.168.10.50,26,1,1,307692.3,76923.08,1
172.16.0.1,192.168.10.50,62,1,1,96774.195,32258.064,1
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
172.16.0.1,192.168.10.50,42,1,1,142857.14,47619.047,1
172.16.0.1,192.168.10.50,68,1,1,88235.3,29411.766,1
172.16.0.1,192.168.10.50,71,1,1,84507.04,28169.014,1
192.168.10.5,104.16.25.216,46036013,8,9,57.650517,0.3692761,0
192.168.10.9,192.168.10.3,197,2,2,791878.2,20304.568,0
192.168.10.3,192.168.10.1,37872,1,1,3855.0908,52.809464,0
192.168.10.3,192.168.10.1,729,1,1,205761.31,2743.4841,0
45.126.132.40,192.168.10.25,413,3,1,0.0,9685.23,0
172.16.0.1,192.168.10.50,23,1,1,347826.1,86956.52,1
172.16.0.1,192.168.10.50,53,1,1,113207.55,37735.848,1
172.16.0.1,192.168.10.50,94,1,1,85106.38,21276.596,1
172.16.0.1,192.168.10.50,58,1,1,137931.03,34482.758,1
172.16.0.1,192.168.10.50,57,1,1,105263.16,35087.72,1
192.168.10.19,85.114.159.93,194601,4,1,2718.3828,25.693598,0
172.16.0.1,192.168.10.50,14,1,1,428571.44,142857.14,1
172.16.0.1,192.168.10.50,18,1,1,444444.44,111111.11,1
172.16.0.1,192.168.10.50,95,1,1,63157.895,21052.63,1
172.16.0.1,192.168.10.50,46,1,1,130434.78,43478.26,1
172.16.0.1,192.168.10.50,47,1,1,127659.58,42553.19,1
172.16.0.1,192.168.10.50,44,1,1,136363.64,45454.547,1
172.16.0.1,192.168.10.50,98,1,1,61224.49,20408.164,1
172.16.0.1,192.168.10.50,44,1,1,181818.19,45454.547,1
192.168.10.25,192.168.10.3,94557689,22,13,98.79683,0.3701444,0
52.94.237.66,192.168.10.8,32,1,1,375000.0,62500.0,0
172.16.0.1,192.168.10.50,47,1,1,170212.77,42553.19,1
192.168.10.12,185.5.137.206,6027454,9,5,650.52344,2.3227055,0
172.16.0.1,192.168.10.50,87,1,1,91954.02,22988.506,1
172.16.0.1,192.168.10.50,44,1,1,181818.19,45454.547,1
172.16.0.1,192.168.10.50,69,1,1,86956.52,28985.508,1
192.168.10.16,139.61.74.125,60342130,15,17,189.88391,0.53030944,0
192.168.10.15,192.168.10.3,31236,4,2,8131.643,192.08606,0
192.168.10.3,192.168.10.1,60984,1,1,2967.9917,32.795486,0
172.16.0.1,192.168.10.50,111,1,1,54054.055,18018.018,1
172.16.0.1,192.168.10.50,94,1,1,85106.38,21276.596,1
172.16.0.1,192.168.10.50,48,1,1,125000.0,41666.668,1
172.16.0.1,192.168.10.50,43,1,1,186046.52,46511.63,1
172.16.0.1,192.168.10.50,64,1,1,125000.0,31250.0,1
192.168.10.16,192.168.10.3,223,2,2,1.6860986e+06,17937.22,0
192.168.10.3,192.168.10.1,205246,1,1,1261.9004,9.744404,0
172.16.0.1,192.168.10.50,54,1,1,148148.14,37037.035,1
172.16.0.1,192.168.10.50,73,1,1,109589.04,27397.26,1
172.16.0.1,192.168.10.50,83,1,1,72289.16,24096.385,1
192.168.10.14,35.166.174.241,5393079,3,1,2.225074,0.74169135,0
172.16.0.1,192.168.10.50,20,1,1,300000.0,100000.0,1
